id1;id2;data_source;points;50km;20km;10km;5km;zone;X;Y
1;1;Igarka 2020;Игарка 1;0,628;0,631;0,651;0,769;taiga;86.71029;67.44536
3;3;Igarka 2020;Игарка 3;0,628;0,632;0,654;0,764;taiga;86.70785;67.44594
5;5;Igarka 2020;Игарка 5;0,622;0,654;0,791;0,802;taiga;86.63583;67.53111
6;6;Igarka 2020;Игарка 6;0,622;0,655;0,794;0,801;taiga;86.6361;67.53353
7;7;Igarka 2020;Игарка 7;0,621;0,654;0,7935;0,8;taiga;86.64016;67.53321
8;8;Igarka 2020;Играка 8;0,623;0,653;0,786;0,804;taiga;86.63004;67.52823
9;9;Igarka 2020;Игарка 9;0,623;0,653;0,783;0,806;taiga;86.62683;67.52691
1;LT1;Pollen_results_all.xlsx;LT2;0,962;0,953;0,93;0,901;taiga;100.5282;64.16555
3;LT2a1;Pollen_results_all.xlsx;LT2a1;0,962;0,953;0,94;0,902;taiga;100.5265;64.16452
4;LT2a2;Pollen_results_all.xlsx;LT2a2;0,962;0,953;0,94;0,902;taiga;100.5265;64.16452
5;LT3;Pollen_results_all.xlsx;WAITP1;0,962;0,953;0,94;0,901;taiga;100.5288;64.16558
7;WAITP2;Pollen_results_all.xlsx;WAITP2;0,96;0,952;0,917;0,849;taiga;100.1991;64.29155
8;SLT389;Pollen_results_all.xlsx;SLT389;0,962;0,953;0,94;0,901;taiga;100.5279;64.16544
9;SLT390;Pollen_results_all.xlsx;SLT390;0,962;0,953;0,94;0,902;taiga;100.5288;64.16333
10;SLT391;Pollen_results_all.xlsx;SLT391;0,962;0,945;0,944;0,984;taiga;100.3569;64.16277
11;SLT392;Pollen_results_all.xlsx;SLT392;0,962;0,953;0,94;0,905;taiga;100.5190;64.16275
12;SLT393;Pollen_results_all.xlsx;SLT393;0,962;0,953;0,94;0,906;taiga;100.5182;64.16258
13;SWAIT395;Pollen_results_all.xlsx;SWAIT395;0,96;0,952;0,916;0,85;taiga;100.1998;64.28986
14;SWAIT396;Pollen_results_all.xlsx;SWAIT396;0,96;0,952;0,916;0,85;taiga;100.1998;64.28988
15;SWAIT397;Pollen_results_all.xlsx;SWAIT397;0,96;0,952;0,916;0,851;taiga;100.198;64.28911
16;SWAIT398;Pollen_results_all.xlsx;SWAIT398;0,96;0,952;0,916;0,851;taiga;100.1974;64.28919
17;SWAIT399;Pollen_results_all.xlsx;SWAIT399;0,96;0,952;0,915;0,85;taiga;100.2040;64.28916
18;SLT403;Pollen_results_all.xlsx;SLT403;0,963;0,945;0,936;0,921;taiga;100.4856;64.20716
19;SLT404;Pollen_results_all.xlsx;SLT404;0,963;0,945;0,936;0,921;taiga;100.4831;64.20741
20;SLT405;Pollen_results_all.xlsx;SLT405;0,963;0,945;0,936;0,921;taiga;100.4854;64.20666
21;SLT406;Pollen_results_all.xlsx;SLT406;0,963;0,945;0,937;0,923;taiga;100.4884;64.20825
22;SLT407;Pollen_results_all.xlsx;SLT407;0,961;0,945;0,938;0,912;taiga;100.4396;64.21683
23;SLT408;Pollen_results_all.xlsx;SLT408;0,962;0,945;0,938;0,912;taiga;100.4406;64.21697
24;SLT409;Pollen_results_all.xlsx;SLT409;0,962;0,945;0,938;0,912;taiga;100.4398;64.217
25;SWT411;Pollen_results_all.xlsx;SWT411;0,96;0,948;0,925;0,893;taiga;100.1001;64.23211
26;SWT413=SLT413;Pollen_results_all.xlsx;SWT413;0,96;0,948;0,925;0,893;taiga;100.1001;64.23211
27;SWT414;Pollen_results_all.xlsx;SWT414;0,96;0,952;0,916;0,851;taiga;100.2097;64.29945
28;SWT415;Pollen_results_all.xlsx;SWT415;0,96;0,952;0,917;0,859;taiga;100.2168;64.30361
29;SWT416=SLT413;Pollen_results_all.xlsx;SWT416;0,96;0,952;0,92;0,874;taiga;100.2265;64.30918
30;SPB418;Pollen_results_all.xlsx;SPB418;0,959;0,952;0,922;0,917;taiga;100.2481;64.32666
31;SPB421;Pollen_results_all.xlsx;SPB421;0,150532033;0,169881083;0,204376496;0,279738013;putorana;91.55813;69.38716
32;SPB422;Pollen_results_all.xlsx;SPB422;0,150476615;0,169779622;0,204176074;0,281418919;putorana;91.55947;69.38686
33;SPB424;Pollen_results_all.xlsx;SPB424;0,150356832;0,169571078;0,204132331;0,284455721;putorana;91.56175;69.38647
34;SPB429;Pollen_results_all.xlsx;SPB429;0,149945495;0,167991708;0,204874993;0,292450604;putorana;91.57419;69.3835
35;SPB430;Pollen_results_all.xlsx;SPB430;0,15047165;0,169718801;0,207743702;0,269410535;putorana;91.55141;69.38986
36;SPB432;Pollen_results_all.xlsx;SPB432;0,151037364;0,170398667;0,204436748;0,268899503;putorana;91.55041;69.38822
37;SPB433;Pollen_results_all.xlsx;SPB433;0,151597345;0,170898476;0,20212047;0,263959414;putorana;91.54727;69.38733
38;SPB434;Pollen_results_all.xlsx;SPB434;0,152244694;0,171331942;0,199456274;0,257765;putorana;91.54408;69.38608
39;SPB435;Pollen_results_all.xlsx;SPB435;0,154619569;0,171297865;0,193306694;0,248782389;putorana;91.53741;69.379
40;SPB436;Pollen_results_all.xlsx;SPB436;0,144534926;0,163653917;0,231881973;0,288274826;putorana;91.58863;69.39555
41;SPB437;Pollen_results_all.xlsx;SPB437;0,144584577;0,163658201;0,231454827;0,288716163;putorana;91.58875;69.39536
42;SPB417;Pollen_results_all.xlsx;SPB417;0,150008091;0,169325647;0,207012395;0,28160723;putorana;91.56;69.38841
43;SPG438;Pollen_results_all.xlsx;SPG438;0,14446645;0,189523058;0,237605441;0,341088477;putorana;91.44083;69.47138
44;SPG443;Pollen_results_all.xlsx;SPG443;0,144236508;0,188721099;0,238584355;0,338232387;putorana;91.44083;69.47416
45;SPG444;Pollen_results_all.xlsx;SPG444;0,143569347;0,188682305;0,238904336;0,344746751;putorana;91.44563;69.47266
46;SPG445;Pollen_results_all.xlsx;SPG445;0,144259732;0,189442719;0,237773877;0,342449597;putorana;91.44208;69.47125
47;SPG447;Pollen_results_all.xlsx;SPG447;0,144622933;0,189654132;0,237407492;0,340361311;putorana;91.43997;69.47127
48;SPG448;Pollen_results_all.xlsx;SPG448;0,144612419;0,189364187;0,237713329;0,338994168;putorana;91.43969;69.47225
49;SPG450;Pollen_results_all.xlsx;SPB472;0,145188982;0,189599634;0,23731734;0,333704361;putorana;91.43577;69.47291
51;SPB473;Pollen_results_all.xlsx;SPB473;0,157;0,173176743;0,181402635;0,193732743;putorana;91.49897;69.38516
52;SPB474;Pollen_results_all.xlsx;SPB474;0,157;0,173289051;0,178779769;0,187530625;putorana;91.49838;69.38291
53;PFIV;Pollen_results_all.xlsx;PFIV;0,374287941;0,293;0,321;0,300173292;putorana;92.04611;68.16027
54;AFOX;Pollen_results_all.xlsx;AFOX;0,345892298;0,245;0,247;0,206768654;putorana;92.22805;68.16638
55;ARTE;Pollen_results_all.xlsx;ARTE;0,361587768;0,265;0,281769362;0,22993102;putorana;92.17444;68.15083
56;WILD1;Pollen_results_all.xlsx;WILD1;0,34218819;0,245;0,230485673;0,198893518;putorana;92.24055;68.17
57;IGAR;Pollen_results_all.xlsx;IGAR2;0,633;0,656;0,662;0,845;taiga;86.5575;67.50888
ПП1;1;Tura 2021;Тура ПП1 аэропорт;0,959;0,943;0,951;0,943;taiga;100.4309;64.31831
ПП2;3;Tura 2021;Тура Гарь 2013;0,959;0,944;0,95;0,943;taiga;100.4279;64.31890
ПП4;10;Tura 2021;Тура Т10 ПП4;0,959;0,951;0,921;0,917;taiga;100.2531;64.32458
ПП5;11;Tura 2021;Руч. 9 ПП5;0,959;0,952;0,926;0,916;taiga;100.2267;64.32734
ПП6;12;Tura 2021;Гарь 1993 Т12 ПП6;0,959;0,952;0,926;0,915;taiga;100.2285;64.32904
Binney2017_E2934;;EMPD2;Binney2017_E2934;0,174016116;0,17229283;0,161030042;0,145802665;tundra-forest;86.57;69.23
Binney2017_E2973;;EMPD2;Binney2017_E2973;0,000201337;0,000259615;0,000228857;6,21054E-05;tundra;99.83;72.52
Binney2017_E2974;;EMPD2;Binney2017_E2974;0,000214222;0,000287189;0,000232578;6,60865E-05;tundra;99.83;72.5
Binney2017_E2975;;EMPD2;Binney2017_E2975;0,000214222;0,000287189;0,000232578;6,60865E-05;tundra;99.83;72.5
Binney2017_E2976;;EMPD2;Binney2017_E2976;0,000214222;0,000287189;0,000232578;6,60865E-05;tundra;99.83;72.5
Binney2017_E2977;;EMPD2;Binney2017_E2977;0,000214222;0,000287189;0,000232578;6,60865E-05;tundra;99.83;72.5
Binney2017_E2978;;EMPD2;Binney2017_E2978;0,000214222;0,000287189;0,000232578;6,60865E-05;tundra;99.83;72.5
Binney2017_E3165;;EMPD2;Binney2017_E3165;0,045587296;0,024035243;0,009263613;0,008621953;tundra;87.52;70.2
Binney2017_E3166;;EMPD2;Binney2017_E3166;0,044207506;0,021444702;0,009819135;0,008560022;tundra;87.5;70.22
Binney2017_E3167;;EMPD2;Binney2017_E3167;0,045902642;0,024662714;0,009545894;0,008979809;tundra;87.54;70.2
Binney2017_E3187;;EMPD2;Binney2017_E3187;0,466;0,665;0,754;0,719;taiga;87.2;68.12
Binney2017_E3423;LAO1494;EMPD2;Binney2017_E3423;0,060371528;7,45417E-05;4,43073E-05;3,1848E-05;tundra;99.6;72.19
Binney2017_E3424;LAO694;EMPD2;Binney2017_E3424;3,95962E-05;3,67017E-05;5,17279E-05;0,000158848;tundra;99.71;73.39
Binney2017_E3444;PG1111;EMPD2;Binney2017_E3444;0,204;0,279491323;0,264523863;0,210048275;putorana;90.2;69.53
Binney2017_E3504;R084;EMPD2;Binney2017_E3504;0,627760568;0,697055967;0,731928039;0,712108459;taiga;125;64
Binney2017_E3505;R085;EMPD2;Binney2017_E3505;0,627760568;0,697055967;0,731928039;0,712108459;taiga;125;64
Binney2017_E3506;R086;EMPD2;Binney2017_E3506;0,627760568;0,697055967;0,731928039;0,712108459;taiga;125;64
Binney2017_E3507;R087;EMPD2;Binney2017_E3507;0,627760568;0,697055967;0,731928039;0,712108459;taiga;125;64
Binney2017_E3537;R125;EMPD2;Binney2017_E3537;0,815053664;0,730695232;0,798021366;0,828018027;taiga;118.5;63.5
Binney2017_E3538;R126;EMPD2;Binney2017_E3538;0,865220535;0,840084103;0,856095253;0,944009207;taiga;117.5;62.25
Binney2017_E3539;R127;EMPD2;Binney2017_E3539;0,865220535;0,840084103;0,856095253;0,944009207;taiga;117.5;62.25
Binney2017_E3540;R128;EMPD2;Binney2017_E3540;0,741577166;0,627183762;0,602288401;0,50164677;taiga;128.75;63.5
Binney2017_E3541;R129;EMPD2;Binney2017_E3541;0,598544725;0,593225803;0,677176266;0,625641171;taiga;129.5;62.25
Binney2017_E3542;R130;EMPD2;Binney2017_E3542;0,598544725;0,593225803;0,677176266;0,625641171;taiga;129.5;62.25
Binney2017_E3543;R131;EMPD2;Binney2017_E3543;0,741577166;0,627183762;0,602288401;0,50164677;taiga;128.75;63.5
Binney2017_E3544;R132;EMPD2;Binney2017_E3544;0,614521031;0,70359422;0,828028384;0,820567765;taiga;129.33;62
Binney2017_E3545;R133;EMPD2;Binney2017_E3545;0,614521031;0,70359422;0,828028384;0,820567765;taiga;129.33;62
Binney2017_E3546;R134;EMPD2;Binney2017_E3546;0,614521031;0,70359422;0,828028384;0,820567765;taiga;129.33;62
Binney2017_E3547;R135;EMPD2;Binney2017_E3547;0,741577166;0,627183762;0,602288401;0,50164677;taiga;128.75;63.5
Binney2017_E3548;R136;EMPD2;Binney2017_E3548;0,606172954;0,616967541;0,576426189;0,547471968;taiga;129.5;62.42
Binney2017_E3549;R137;EMPD2;Binney2017_E3549;0,614521031;0,70359422;0,828028384;0,820567765;taiga;129.33;62
Binney2017_E3550;R138;EMPD2;Binney2017_E3550;0,614521031;0,70359422;0,828028384;0,820567765;taiga;129.33;62
Binney2017_E3551;R139;EMPD2;Binney2017_E3551;0,78446307;0,669146718;0,699259039;0,653199623;taiga;132.17;62
Binney2017_E3552;R140;EMPD2;Binney2017_E3552;0,78446307;0,669146718;0,699259039;0,653199623;taiga;132.17;62
Binney2017_E3553;R141;EMPD2;Binney2017_E3553;0,78446307;0,669146718;0,699259039;0,653199623;taiga;132.17;62
